294 267.429 -15.0779 12.3963 6.31697 4.094 3.394 1.162 -0.155 0.267 0.26 0.02 0.019 4.1 4.2 55.6 57.6 8.508 6.336 5.044 0.027 0.034 0.021 0.436084 3.464 3.882 0.7 2.232 1.317 OH/IR
298 287.487 12.8823 46.4881 1.81492 6.398 5.485 3.497 1.915 0.08 0.052 0.015 0.015 13.6 21 70.9 74.8 11.816 10.042 8.75 0.022 0.021 0.018 0.227078 3.066 5.253 0.913 1.988 1.582 OH/IR
308 293.394 11.6174 48.0896 -3.87361 4.276 3.208 1.274 0.098 0.209 0.312 0.018 0.013 5.2 3.5 60.7 83.2 9.044 7.292 6.028 0.022 0.055 0.018 0.06287 3.016 4.754 1.068 1.934 1.176 OH/IR
334 298.262 20.3714 58.0308 -3.60423 5.637 4.393 2.75 1.046 0.113 0.105 0.009 0.017 9.6 10.3 114.4 62.1 10.933 9.269 7.936 0.026 0.029 0.031 0.208504 2.997 5.186 1.244 1.643 1.704 OH/IR
362 231.136 -43.0774 330.428 11.4727 3.833 2.982 1.331 0.277 0.309 0.324 0.032 0.022 3.5 3.4 34.2 49.2 6.735 5.494 4.596 0.023 0.053 0.015 0.552751 2.139 3.265 0.851 1.651 1.054 OH/IR
363 266.661 -29.1338 359.947 -0.293561 6.531 5.087 3.231 1.541 0.068 0.058 0.026 0.032 15.9 18.6 41.5 33.9 15.527 11.785 9.798 0.098 0.081 0.041 1.3189 5.729 6.567 1.444 1.856 1.69 OH/IR
374 305.786 31.1685 70.792 -3.47697 4.629 3.408 1.416 -0.059 0.278 0.315 0.014 0.013 3.9 3.4 78.6 82.3 10.867 8.509 6.749 0.025 0.027 0.018 0.304666 4.118 5.333 1.221 1.992 1.475 OH/IR
375 269.899 -21.2537 8.22221 1.18815 5.236 3.31 1.569 0.19 0.112 0.17 0.028 0.017 9.7 6.4 38.2 64.2 9.993 7.772 6.096 0.021 0.026 0.017 0.69368 3.897 4.527 1.926 1.741 1.379 OH/IR
380 286.891 14.6132 47.7612 3.12352 5.925 5.196 2.976 1.572 0.109 0.069 0.014 0.011 9.9 15.8 77.6 98.4 8.85 7.245 6.242 0.026 0.021 0.018 0.205775 2.608 3.266 0.729 2.22 1.404 OH/IR
398 295.431 19.9421 56.3217 -1.52271 4.058 3.032 0.906 -0.301 0.325 0.286 0.046 0.012 3.3 3.8 23.5 87.2 9.413 7.233 5.846 0.018 0.021 0.02 0.194908 3.567 4.94 1.026 2.126 1.207 OH/IR
412 286.268 13.762 46.7262 3.27244 5.664 4.486 2.321 0.953 0.167 0.055 0.011 0.013 6.5 19.9 99.6 84 11.526 9.37 7.724 0.018 0.021 0.023 0.355186 3.802 5.403 1.178 2.165 1.368 OH/IR
421 310.778 30.0106 72.3992 -7.62963 5.106 4.361 2.598 1.523 0.199 0.1 0.013 0.022 5.5 10.9 83.4 49.4 7.401 6.277 5.615 0.024 0.021 0.017 0.177264 1.786 3.017 0.745 1.763 1.075 OH/IR
446 318.07 22.2987 70.4741 -17.5631 6.608 6.107 4.44 2.605 0.073 0.032 0.015 0.02 14.9 33.6 74.9 53.6 8.883 7.948 7.294 0.024 0.016 0.018 0.269836 1.589 2.854 0.501 1.667 1.835 OH/IR
470 276.153 12.3214 41.0204 11.4699 4.684 3.871 2.282 1.179 0.284 0.194 0.016 0.019 3.8 5.6 68.4 57 6.601 5.772 5.176 0.021 0.018 0.017 0.098827 1.425 2.894 0.813 1.589 1.103 OH/IR
477 279.169 0.133737 31.3666 3.34473 4.575 3.217 0.998 -0.416 0.231 0.303 0.029 0.013 4.7 3.6 37.5 86.8 10.317 7.699 6.032 0.023 0.036 0.023 0.1401 4.285 5.034 1.358 2.219 1.414 OH/IR
486 266.393 -29.215 359.757 -0.1365 6.056 4.715 3.146 1.378 0.088 0.14 0.019 0.026 12.3 7.8 56.1 41.9 17.16 13.089 9.928 -9999 0.053 0.04 0.224195 7.232 6.782 1.341 1.569 1.768 OH/IR
488 279.271 -12.4717 20.2064 -2.52643 4.585 3.051 0.668 -0.665 0.267 0.33 0.046 0.011 4.1 3.3 23.8 99.1 13.305 10.156 7.803 0.05 0.027 0.023 0.33388 5.502 7.135 1.534 2.383 1.333 OH/IR
504 275.723 -13.7945 17.4329 -0.077379 5.819 4.94 3.173 1.592 0.04 0.075 0.015 0.024 27.2 14.5 73.8 45.1 9.938 7.742 6.438 0.023 0.04 0.031 0.277297 3.5 3.265 0.879 1.767 1.581 OH/IR
533 277.127 -24.269 8.74916 -6.10677 5.063 3.949 2.167 0.801 0.113 0.119 0.014 0.01 9.6 9.1 77.6 111.6 11.412 9.284 7.682 0.025 0.023 0.027 1.79899 3.73 5.515 1.114 1.782 1.366 OH/IR
535 295.263 15.572 52.4376 -3.53965 4.734 3.788 1.874 0.376 0.224 0.155 0.013 0.009 4.9 7 83.8 119.2 8.71 6.852 5.691 0.024 0.02 0.016 0.179362 3.019 3.817 0.946 1.914 1.498 OH/IR
567 245.147 -32.1603 346.265 12.6009 4.359 3.061 0.428 -0.648 0.273 0.213 0.057 0.007 4 5.1 19.1 150.9 8.284 6.792 5.69 0.027 0.024 0.017 0.774181 2.594 5.262 1.298 2.633 1.076 OH/IR
570 293.833 12.8705 49.3974 -3.64608 4.45 3.415 1.256 0.186 0.222 0.225 0.024 0.017 4.9 4.8 46.1 63.4 6.614 5.37 4.638 0.023 0.034 0.016 0.106336 1.976 3.382 1.035 2.159 1.07 OH/IR
591 298.685 36.7044 72.2447 4.47112 6.228 5.542 3.766 2.231 0.089 0.06 0.013 0.02 12.2 18 80.4 55 7.528 6.392 5.724 0.035 0.02 0.017 0.305323 1.804 1.958 0.686 1.776 1.535 OH/IR
608 260.295 -22.4663 2.47562 8.12549 4.831 3.632 1.277 -0.046 0.234 0.216 0.023 0.012 4.6 5 47.3 88.6 10.303 8.308 6.912 0.023 0.036 0.029 0.358393 3.391 5.635 1.199 2.355 1.323 OH/IR
612 290.683 25.3822 58.9848 4.93425 5.054 4.141 2.273 1.06 0.164 0.136 0.015 0.011 6.6 8 71.4 95.7 7.307 6.263 5.555 0.023 0.024 0.016 0.037984 1.752 3.282 0.913 1.868 1.213 OH/IR
618 271.623 -44.9187 348.064 -11.4882 3.703 3.04 1.346 0.24 0.256 0.301 0.017 0.016 4.2 3.6 62.9 68.2 6.349 5.133 4.369 0.032 0.029 0.026 0.402595 1.98 3.023 0.663 1.694 1.106 OH/IR
620 271.741 -20.8639 9.408 -0.11648 6.279 5.125 3.61 1.957 0.076 0.052 0.013 0.023 14.3 20.9 81.9 47.1 11.86 9.099 7.464 0.022 0.021 0.024 0.144278 4.396 3.854 1.154 1.515 1.653 OH/IR
621 282.556 2.78676 35.2743 1.54046 5.07 3.946 1.835 0.278 0.236 0.147 0.025 0.013 4.6 7.4 43.6 86 9.805 7.62 6.18 0.022 0.042 0.027 0.171688 3.625 4.345 1.124 2.111 1.557 OH/IR
643 284.497 14.2221 46.3567 5.01304 5.34 4.189 1.839 0.464 0.144 0.132 0.016 0.014 7.5 8.2 67.1 79.3 11.565 9.226 7.449 0.018 0.017 0.018 0.300774 4.116 5.61 1.151 2.35 1.375 OH/IR
683 275.87 -10.4555 20.4497 1.36136 4.669 3.09 1.473 -0.237 0.225 0.235 0.192 0.059 4.8 4.6 5.7 18.3 10.832 8.093 6.128 0.023 0.04 0.031 0.767429 4.704 4.655 1.579 1.617 1.71 OH/IR
688 266.63 -36.9302 353.258 -4.30931 4.892 3.736 1.422 0.08 0.269 0.18 0.03 0.021 4 6 35.9 50.7 10.92 8.636 6.978 0.022 0.036 0.026 0.150213 3.942 5.556 1.156 2.314 1.342 OH/IR
699 293.299 20.8584 56.1432 0.668284 5.354 3.902 1.725 0.492 0.184 0.136 0.012 0.01 5.9 8 87.8 104.2 11.656 9.245 7.34 0.021 0.02 0.026 0.221908 4.316 5.615 1.452 2.177 1.233 OH/IR
